,Name,Price,Cpu,Ram,Rom
16,Laptop Acer Aspire 3 A315 59 314F i3 1215U/8GB/256GB/Win11 (NX.K6TSV.002),9.990.000₫ *,i3 1215U 1.2GHz,8 GB DDR4 2 khe (1 khe 4 GB + 1 khe 4 GB) Từ 2400 MHz (Hãng công bố),"256 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB) Hỗ trợ khe cắm HDD SATA 2.5 inch mở rộng (nâng cấp tối đa 1 TB)"
17,N/A,,N/A,N/A,N/A
18,Laptop HP 245 G9 R5 5625U/8GB/512GB/Win11 (6L1N9PA),11.690.000₫ *,Ryzen 5 5625U 2.30 GHz,8 GB DDR4 2 khe (1 khe 8 GB + 1 khe rời) 3200 MHz,512 GB SSD NVMe PCIe Hỗ trợ thêm 1 khe cắm HDD SATA (nâng cấp tối đa 1 TB)
19,Laptop Asus VivoBook X515MA N4020/4GB/256GB/Win11 (BR480W),6.990.000₫,Celeron N4020 1.1GHz,4 GB DDR4 (1 khe) 2400 MHz,Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2 TB) 256 GB SSD NVMe PCIe
20,N/A,,N/A,N/A,N/A
21,Laptop HP 240 G9 i5 1235U/8GB/256GB/Win11 (6L1Y1PA),14.990.000₫ *,i5 1235U 1.3GHz,8 GB DDR4 2 khe (1 khe 8 GB + 1 khe rời) 3200 MHz,"256 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)"
22,Laptop Lenovo Ideapad 3 15ITL6 i5 1155G7/8GB/512GB/Win11 (82H803CVVN),12.190.000₫ *,i5 1155G7 2.5GHz,8 GB DDR4 2 khe (1 khe 8 GB onboard + 1 khe trống) 3200 MHz,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB (2280) / 512 GB (2242))"
23,N/A,,N/A,N/A,N/A
24,Laptop Acer Aspire 3 A314 35 C3KS N5100/4GB/256GB/Win11 (NX.A7SSV.009),5.490.000₫ *,Celeron N5100 1.1GHz,4 GB DDR4 2 khe (1 khe 4 GB + 1 khe rời) Từ 2400 MHz (Hãng công bố),"256 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB) Hỗ trợ khe cắm HDD SATA"
25,N/A,,N/A,N/A,N/A
26,Laptop HP 15s fq5078TU i5 1235U/8GB/512GB/Win11 (6K798PA),15.190.000₫ *,i5 1235U 1.3GHz,8 GB DDR4 2 khe (1 khe 4 GB + 1 khe 4 GB) 3200 MHz,512 GB SSD NVMe PCIe
27,Laptop Lenovo IdeaPad Slim 5 Light 14ABR8 R5 7530U/16GB/512GB/Win11 (82XS002KVN),15.490.000₫ *,Ryzen 5 7530U 2GHz,16 GB DDR4 (Onboard) 3200 MHz,512 GB SSD NVMe PCIe Gen 4.0
28,N/A,,N/A,N/A,N/A
29,Laptop HP 15s fq5147TU i7 1255U/8GB/512GB/Win11 (7C133PA),17.790.000₫ *,i7 1255U 1.7GHz,8 GB DDR4 2 khe (1 khe 4 GB + 1 khe 4 GB) 3200 MHz,512 GB SSD NVMe PCIe
30,N/A,,N/A,N/A,N/A
31,N/A,,N/A,N/A,N/A
32,Laptop HP Pavilion 14 dv2074TU i5 1235U/8GB/512GB/Win11 (7C0P3PA),16.890.000₫ *,i5 1235U 1.3GHz,8 GB DDR4 2 khe (1 khe 4 GB + 1 khe 4 GB) 3200 MHz,512 GB SSD NVMe PCIe
33,Laptop Asus Vivobook 14X OLED A1405ZA i5 12500H/8GB/512GB/Win11 (KM146W),16.490.000₫ *,i5 12500H 2.5GHz,8 GB DDR4 2 khe (1 khe 8 GB onboard + 1 khe trống) 3200 MHz,512 GB SSD NVMe PCIe
34,Laptop Lenovo Ideapad 3 15IAU7 i5 1235U/8GB/512GB/Win11 (82RK001PVN),13.490.000₫ *,i5 1235U 1.3GHz,8 GB DDR4 2 khe (1 khe 8 GB onboard + 1 khe trống) 3200 MHz,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)"
35,Laptop Lenovo Ideapad 3 15IAU7 i3 1215U/8GB/512GB/Win11 (82RK001MVN),9.990.000₫ *,i3 1215U 1.2GHz,8 GB DDR4 2 khe (1 khe 8 GB onboard + 1 khe trống) 3200 MHz,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)"
36,N/A,9.990.000₫ *,N/A,N/A,N/A
37,Laptop HP 240 G9 i5 1235U/8GB/512GB/Win11 (6L1Y2PA),15.390.000₫ *,i5 1235U 1.3GHz,8 GB DDR4 2 khe (1 khe 8 GB + 1 khe rời) 3200 MHz,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)"
38,Laptop HP 15s fq5162TU i5 1235U/8GB/512GB/Win11 (7C134PA),15.690.000₫ *,i5 1235U 1.3GHz,8 GB DDR4 2 khe (1 khe 4 GB + 1 khe 4 GB) 3200 MHz,512 GB SSD NVMe PCIe
39,Laptop Acer Aspire 3 A314 35 P3G9 N6000/4GB/256GB/Win11 (NX.A7SSV.007),6.990.000₫ *,Pentium N6000 1.1GHz,4 GB DDR4 2 khe (1 khe 4 GB + 1 khe rời) 2400 MHz,256 GB SSD M.2 SATA 3 (Có thể tháo ra lắp thanh khác tối đa 1 TB) Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1 TB) Hỗ trợ khe cắm HDD SATA 2.5 inch mở rộng (nâng cấp tối đa 2 TB)
40,Laptop Acer Aspire 3 A314 35 P3G9 N6000/4GB/256GB/Win11 (NX.A7SSV.007),6.990.000₫ *,Pentium N6000 1.1GHz,4 GB DDR4 2 khe (1 khe 4 GB + 1 khe rời) 2400 MHz,256 GB SSD M.2 SATA 3 (Có thể tháo ra lắp thanh khác tối đa 1 TB) Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1 TB) Hỗ trợ khe cắm HDD SATA 2.5 inch mở rộng (nâng cấp tối đa 2 TB)
41,Laptop HP Pavilion X360 14 ek0134TU i5 1235U/8GB/512GB/Touch/Pen/Win11 (7C0P8PA),18.490.000₫ *,i5 1235U 1.3GHz,8 GB DDR4 (Onboard) 3200 MHz,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)"
42,Laptop Lenovo Ideapad 5 15IAL7 i5 1235U/8GB/512GB/Win11 (82SF005HVN),14.490.000₫ *,i5 1235U 1.3GHz,8 GB DDR4 (Onboard) 3200 MHz,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB (2280) / 512 GB (2242)) Hỗ trợ khe cắm HDD SATA 2.5 inch mở rộng (nâng cấp tối đa 1 TB)"
43,Laptop Acer Aspire 5 A514 54 511G i5 1135G7/8GB/1TB SSD/Win11 (NX.A28SV.009),14.190.000₫,i5 1135G7 2.4GHz,8 GB DDR4 (Onboard 4 GB + 1 khe 4 GB) 3200 MHz,Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2 TB) 1 TB SSD M.2 PCIe
44,Laptop HP Pavilion 15 eg2035TX i5 1235U/8GB/512GB/2GB MX550/Win11 (6K781PA),18.090.000₫ *,i5 1235U 1.3GHz,8 GB DDR4 2 khe (1 khe 4 GB + 1 khe 4 GB) 3200 MHz,512 GB SSD NVMe PCIe
45,Laptop Lenovo Ideapad 3 14ABA7 R5 5625U/8GB/256GB/Win11 (82RM003WVN),10.490.000₫ *,Ryzen 5 5625U 2.30 GHz,8 GB DDR4 2 khe (1 khe 8 GB onboard + 1 khe trống) 3200 MHz,"256 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)"
46,Laptop Asus Vivobook 15 X1504VA i5 1335U/8GB/512GB/Win11 (NJ025W),15.990.000₫ *,i5 1335U 1.3GHz,8 GB DDR4 2 khe (1 khe 8 GB onboard + 1 khe trống) 3200 MHz,"512 GB SSD NVMe PCIe 4.0 (Có thể tháo ra, lắp thanh khác tối đa 1 TB)"
47,Laptop HP Pavilion 15 eg2056TU i5 1240P/8GB/512GB/Win11 (6K786PA),15.490.000₫ *,i5 1240P 1.7GHz,8 GB DDR4 2 khe (1 khe 4 GB + 1 khe 4 GB) 3200 MHz,512 GB SSD NVMe PCIe
48,Laptop Lenovo Ideapad 5 14IAL7 i5 1235U/8GB/512GB/Win11 (82SD0060VN),14.490.000₫ *,i5 1235U 1.3GHz,8 GB DDR4 (Onboard) 3200 MHz,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB (2280) / 512 GB (2242))"
49,N/A,,N/A,N/A,N/A
50,N/A,,N/A,N/A,N/A
51,N/A,,N/A,N/A,N/A
52,N/A,,N/A,N/A,N/A
53,Laptop Acer Aspire 3 A315 58 382Z i3 1115G4/8GB/256GB/Win11 (NX.ADDSV.00K),9.990.000₫ *,i3 1115G4 3GHz,8 GB DDR4 (Onboard 4 GB + 1 khe 4 GB) Từ 2400 MHz (Hãng công bố),"256 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB) Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2 TB)"
54,N/A,,N/A,N/A,N/A
55,Laptop MSI Modern 15 B7M R5 7530U/16GB/512GB/Win11 (231VN),13.490.000₫ *,Ryzen 5 7530U 2GHz,16 GB DDR4 (Onboard) 3200 MHz,512 GB SSD NVMe PCIe
56,Laptop Asus Vivobook 15 X1502ZA i7 1260P/16GB/512GB/Win11 (EJ582W),17.990.000₫ *,i7 1260P 2.1GHz,16 GB DDR4 2 khe (8 GB onboard+ 1 khe 8 GB) 3200 MHz,512 GB SSD NVMe PCIe
57,Laptop HP Envy X360 13 bf0090TU i7 1250U/16GB/512GB/Touch/Pen/Win11 (76B13PA),27.990.000₫ *,i7 1250U 1.1GHz,16 GB LPDDR4 (Onboard) 4267 MHz,512 GB SSD NVMe PCIe
58,Laptop Acer TravelMate B3 TMB311 31 C2HB N4020/4GB/128GB/Win11 (NX.VNFSV.006),5.990.000₫ *,Celeron N4020 1.1GHz,4 GB DDR4 (1 khe) Từ 2400 MHz (Hãng công bố),128 GB SSD M2 PCIe
59,Laptop Acer Swift 3 SF314 512 56QN i5 1240P/16GB/512GB/Win11 (NX.K0FSV.002),18.490.000₫ *,i5 1240P 1.7GHz,16 GB LPDDR4X (Onboard) 4267 MHz,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)"
60,Laptop MSI Modern 14 C7M R5 7530U/8GB/512GB/Win11 (083VN),11.990.000₫ *,Ryzen 5 7530U 2GHz,8 GB DDR4 (Onboard) 3200 MHz,512 GB SSD NVMe PCIe
61,Laptop Asus VivoBook X415EA i3 1115G4/4GB/512GB/Win11 (EK1386W),9.190.000₫ *,i3 1115G4 3GHz,4 GB DDR4 (Onboard 4 GB +1 khe rời) 3200 MHz,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB) Hỗ trợ khe cắm HDD SATA"
62,Laptop HP EliteBook 630 G9 i7 1255U/16GB/512GB/Win11 (6M146PA),24.190.000₫ *,i7 1255U 1.7GHz,16 GB DDR4 2 khe (1 khe 16 GB + 1 khe rời) 3200 MHz,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)"
63,Laptop Acer Aspire 5 A515 58P 34RJ i3 1315U/8GB/512GB/Win11 (NX.KHJSV.003),12.000.000₫ *,i3 1315U 1.2GHz,8 GB LPDDR5 (Onboard) 4800 MHz,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)"
64,Laptop Asus Zenbook 14 OLED UX3402ZA i5 1240P/8GB/512GB/90Hz/Cáp/Túi/Win11 (KM220W),20.990.000₫ *,i5 1240P 1.7GHz,8 GB LPDDR5 (Onboard) 4800 MHz,512 GB SSD NVMe PCIe
65,Laptop Lenovo Ideapad 5 Pro 14IAP7 i5 1240P/16GB/512GB/Win11 (82SH000SVN),18.990.000₫ *,i5 1240P 1.7GHz,16 GB LPDDR5 (Onboard) 4800 MHz,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB (2280) / 512 GB (2242))"
66,N/A,,N/A,N/A,N/A
67,Laptop Asus Vivobook S 14 Flip TP3402VA i5 13500H/16GB/512GB/Touch/Win11 (LZ031W),20.490.000₫ *,i5 13500H 2.6GHz,16 GB DDR4 2 khe (8 GB onboard+ 1 khe 8 GB) 3200 MHz,512 GB SSD NVMe PCIe
68,Laptop Asus Vivobook 14 X1402ZA i3 1220P/4GB/512GB/Win11 (EK249W),10.490.000₫ *,i3 1220P 1.1GHz,4 GB DDR4 (Onboard 4 GB +1 khe rời) 3200 MHz,512 GB SSD NVMe PCIe
69,Laptop Asus Zenbook 14 Flip OLED UP3404VA i7 1360P/16GB/512GB/Touch/Pen/Cáp/Túi/Win11 (KN039W),30.990.000₫ *,i7 1360P 2.2GHz,16 GB LPDDR5 (Onboard) 4800 MHz,512 GB SSD NVMe PCIe Gen 4.0
70,Laptop HP Envy 16 h0205TX i9 12900H/32GB/512GB/6GB RTX3060/Touch/Win11 (7C0T2PA),58.990.000₫ *,i9 12900H 2.5GHz,32 GB DDR5 2 khe (1 khe 16 GB + 1 khe 16 GB) 4800 MHz,512 GB SSD NVMe PCIe Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng
71,Laptop LG gram 2023 i7 1360P/16GB/1TB/Win11 (17Z90R-G.AH78A5),50.990.000₫,i7 1360P 2.2GHz,16 GB LPDDR5 (Onboard) 6000 MHz,1 TB SSD NVMe PCIe Gen 4 Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe Gen 4 mở rộng
72,Laptop HP Elitebook Dragonfly G3 i7 1255U/16GB/1TB SSD/Touch/Win11 Pro (6Z980PA),47.490.000₫ *,i7 1255U 1.7GHz,16 GB LPDDR5 (Onboard) 4800 MHz,1 TB SSD
73,Laptop LG gram 2023 i7 1360P/16GB/512GB/Win11 (16Z90R-G.AH76A5),46.990.000₫,i7 1360P 2.2GHz,16 GB LPDDR5 (Onboard) 6000 MHz,512 GB SSD NVMe PCIe Gen 4.0 Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe Gen 4 mở rộng
74,Laptop Asus Vivobook Pro 16 OLED K6602VV i9 13900H/16GB/1TB/8GB RTX4060/Win11 (MX077W),45.490.000₫ *,i9 13900H 2.6GHz,16 GB DDR5 2 khe (1 khe 8 GB onboard + 1 khe 8 GB) 4800 MHz,1 TB SSD NVMe PCIe Gen 4
75,Laptop HP Elitebook X360 1040 G9 i7 1255U/16GB/512GB/Touch/Pen/Win11 Pro (6Z982PA),45.090.000₫ *,i7 1255U 1.7GHz,16 GB DDR5 (Onboard) 4800 MHz,512 GB SSD NVMe PCIe
76,Laptop Surface Pro 9 i7 1255U/16GB/256GB/Touch/120Hz/Win11,44.990.000₫,i7 1255U 1.7GHz,16 GB LPDDR5 (Onboard) 4800 MHz,"256 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)"
77,Laptop Asus Zenbook S 13 OLED UX5304VA i7 1355U/32GB/1TB/Túi/Win11 (NQ126W),41.490.000₫ *,i7 1355U 1.7GHz,32 GB LPDDR5 (Onboard) 5500 MHz,1 TB SSD NVMe PCIe Gen 4
78,N/A,37.990.000₫,N/A,N/A,N/A
79,Laptop LG gram 2023 i7 1360P/16GB/512GB/Win11 (14Z90R-G.AH75A5),38.990.000₫,i7 1360P 2.2GHz,16 GB LPDDR5 (Onboard) 6000 MHz,512 GB SSD NVMe PCIe Gen 4.0 Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe Gen 4 mở rộng
80,Laptop LG gram Style 2023 i5 1340P/16GB/512GB/90Hz/Win11 (14Z90RS-G.AH54A5),38.990.000₫,i5 1340P 1.9GHz,16 GB LPDDR5 (Onboard) 6000 MHz,512 GB SSD NVMe PCIe Gen 4.0 Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe Gen 4 mở rộng
81,N/A,38.390.000₫,N/A,N/A,N/A
82,MacBook Air 15'' 8GB/256GB MacBook Air 15'' 16GB/256GB MacBook Air 15'' 8GB/512GB,N/A,Apple M2 100GB/s,8 GB,256 GB SSD
83,MacBook Air 15'' 8GB/256GB MacBook Air 15'' 16GB/256GB MacBook Air 15'' 8GB/512GB,N/A,Apple M2 100GB/s,8 GB,256 GB SSD
84,Laptop Asus Zenbook S 13 OLED UX5304VA i7 1355U/16GB/512GB/Túi/Win11 (NQ125W),36.990.000₫ *,i7 1355U 1.7GHz,16 GB LPDDR5 (Onboard) 5500 MHz,512 GB SSD NVMe PCIe Gen 4.0
85,Laptop Lenovo Yoga Duet 7 13ITL6 i7 1165G7/16GB/1TB/Touch/Pen/Win11 (82MA009PVN),36.490.000₫,i7 1165G7 2.8GHz,16 GB DDR4 (Onboard) 3200 MHz,1 TB SSD
86,Laptop Asus Vivobook Pro 15 OLED K6502VU i5 13500H/16GB/512GB/6GB RTX4050/Win11 (MA089W),35.490.000₫ *,i5 13500H 2.6GHz,16 GB DDR5 2 khe (1 khe 8 GB onboard + 1 khe 8 GB) 4800 MHz,512 GB SSD NVMe PCIe Gen 4.0
87,N/A,33.690.000₫,N/A,N/A,N/A
88,Laptop LG gram 2023 i5 1340P/16GB/256GB/Win11 (14Z90R-G.AH53A5),32.490.000₫,i5 1340P 1.9GHz,16 GB LPDDR5 (Onboard) 6000 MHz,256 GB SSD NVMe PCIe Gen 4 Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe Gen 4 mở rộng
89,MacBook Air 15'' 8GB/256GB MacBook Air 15'' 16GB/256GB MacBook Air 15'' 8GB/512GB,N/A,Apple M2 100GB/s,8 GB,256 GB SSD
90,N/A,,N/A,N/A,N/A
91,Laptop Lenovo Yoga Slim 7 Pro 14IAH7 i7 12700H/16GB/512GB/Win11 (82UT006CVN),30.990.000₫,i7 12700H 2.30 GHz,16 GB LPDDR5 (Onboard) 4800 MHz,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB (2280) / 512 GB (2242))"
92,N/A,29.990.000₫,N/A,N/A,N/A
93,Laptop Lenovo Yoga Slim 7 Carbon 13ITL5 i7 1165G7/16GB/1TB/Win11 (82EV00AWVN),29.740.000₫ *,i7 1165G7 2.8GHz,16 GB LPDDR4X (Onboard) 4266 MHz,1 TB SSD M.2 PCIe
94,Laptop Dell Inspiron 14 7430 2-in-1 i7 1355U/16GB/512GB/Touch/Pen/OfficeHS/Win11 (i7U165W11SLU),29.490.000₫,i7 1355U 1.7GHz,16 GB LPDDR5 (Onboard) 4800 MHz,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2 TB (2280) / 1 TB (2230))"
95,Laptop MSI Summit E14 Flip Evo A12MT i7 1280P/16GB/512GB/Touch/Pen/Túi/Win11 (210VN),27.990.000₫ *,i7 1280P 1.8GHz,16 GB LPDDR5 (Onboard) 4800 MHz,512 GB SSD NVMe PCIe Gen 4.0
96,Laptop Lenovo Yoga Duet 7 13ITL6 i5 1135G7/8GB/512GB/Touch/Pen/Win11 (82MA009NVN),28.490.000₫,i5 1135G7 2.4GHz,8 GB DDR4 (Onboard) 3200 MHz,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)"
97,N/A,,N/A,N/A,N/A
98,Laptop Lenovo ThinkPad E15 Gen 4 i7 1260P/16GB/512GB/Win11 (21E600CPVN),27.690.000₫,i7 1260P 2.1GHz,16 GB DDR4 2 khe (8 GB onboard+ 1 khe 8 GB) 3200 MHz,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB) Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1 TB)"
99,N/A,,N/A,N/A,N/A
100,N/A,,N/A,N/A,N/A
101,N/A,,N/A,N/A,N/A
102,Laptop Asus Zenbook 14 OLED UX3402ZA i7 1260P/16GB/512GB/Cáp/Win11 (KM221W),26.490.000₫ *,i7 1260P 2.1GHz,16 GB LPDDR5 (Onboard) 4800 MHz,512 GB SSD NVMe PCIe
103,Laptop Lenovo Yoga 7 14IAL7 i5 1240P/16GB/512GB/Touch/Pen/Win11 (82QE000RVN),26.340.000₫ *,i5 1240P 1.7GHz,16 GB LPDDR5 (Onboard) 4800 MHz,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)"
104,N/A,26.340.000₫ *,N/A,N/A,N/A
105,Laptop Asus Zenbook 14 OLED UX3402VA i5 1340P/16GB/512GB/Cáp/Túi/Win11 (KM085W),25.490.000₫ *,i5 1340P 1.9GHz,16 GB LPDDR5 (Onboard) 4800 MHz,512 GB SSD NVMe PCIe Gen 4.0
106,N/A,,N/A,N/A,N/A
107,N/A,,N/A,N/A,N/A
108,Laptop Lenovo Yoga Slim 7 Carbon 13ITL5 i5 1135G7/16GB/512GB/Win11 (82EV00AVVN),24.640.000₫ *,i5 1135G7 2.4GHz,16 GB LPDDR4X (Onboard) 4266 MHz,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)"
109,Laptop HP Envy X360 13 bf0095TU i5 1230U/16GB/512GB/Touch/Pen/Win11 (76B15PA),24.590.000₫ *,i5 1230U 1.00 GHz,16 GB LPDDR4X (Onboard) 4266 MHz,512 GB SSD NVMe PCIe
110,Laptop HP Envy X360 13 bf0112TU i5 1230U/16GB/512GB/Touch/Pen/Win11 (7C0N9PA),24.590.000₫,i5 1230U 1.00 GHz,16 GB LPDDR4X (Onboard) 4266 MHz,512 GB SSD NVMe PCIe
111,Laptop Asus Vivobook S 14 Flip TP3402VA i9 13900H/16GB/512GB/Touch/Win11 (LZ118W),24.490.000₫ *,i9 13900H 2.6GHz,16 GB DDR4 2 khe (8 GB onboard+ 1 khe 8 GB) 3200 MHz,512 GB SSD NVMe PCIe
112,Laptop Asus Vivobook 14X OLED S3405VA i9 13900H/16GB/512GB/Win11 (KM071W),24.490.000₫ *,i9 13900H 2.6GHz,16 GB DDR4 2 khe (8 GB onboard+ 1 khe 8 GB) 3200 MHz,512 GB SSD NVMe PCIe
113,Laptop MSI Summit E14 Evo A12M i7 1280P/16GB/512GB/Túi/Chuột/Win11 (211VN),23.290.000₫ *,i7 1280P 1.8GHz,16 GB LPDDR5 (Onboard) 4800 MHz,512 GB SSD NVMe PCIe Gen 4.0
114,Laptop HP Pavilion X360 14 ek0132TU i7 1255U/16GB/512GB/Touch/Pen/Win11 (7C0W4PA),23.990.000₫ *,i7 1255U 1.7GHz,16 GB DDR4 (Onboard) 3200 MHz,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)"
115,N/A,,N/A,N/A,N/A
116,N/A,,N/A,N/A,N/A
117,N/A,,N/A,N/A,N/A
118,Laptop Asus Vivobook 15 OLED A1505VA i9 13900H/16GB/512GB/Win11 (L1201W),22.990.000₫ *,i9 13900H 2.6GHz,16 GB DDR4 2 khe (8 GB onboard+ 1 khe 8 GB) 3200 MHz,512 GB SSD NVMe PCIe
119,Laptop HP Pavilion 15 eg2088TU i7 1260P/16GB/512GB/Win11 (7C0R0PA),22.590.000₫ *,i7 1260P 2.1GHz,16 GB DDR4 2 khe (1 khe 8 GB + 1 khe 8 GB) 3200 MHz,512 GB SSD NVMe PCIe
120,Laptop Lenovo Ideapad 5 Pro 14IAP7 i7 1260P/16GB/512GB/Win11(82SH002SVN),21.990.000₫ *,i7 1260P 2.1GHz,16 GB LPDDR5 (Onboard) 4800 MHz,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB (2280) / 512 GB (2242))"
